"","X.1","X","iid","id","gender","wave","round","order","partner","pid","match","sameRace","age","fieldCD","race","imprace","imprelig","goal","date","goOut","careerCD","exphappy","expnum","attrPref","sincPref","intelPref","funPref","ambPref","sharPref","decRating","attrRating","sincRating","intelRating","funRating","ambRating","sharRating","likeRating","probRating","met","youCall","themCall","dateAfter","numDatesAfter","careerLaw","careerAcad","careerPsych","careerMed","careerEngin","careerCreative","careerCorp","careerRealEstate","careerIntAffairs","careerUnd","careerSpeech","careerPolitics","careerSports","careerOther","careerJourn","careerArch","date3","date4","date5","date6","date7","fieldLaw","fieldMath","fieldSocialSci","fieldMed","fieldEngin","fieldEng","fieldHum","fieldBusEconFin","fieldEducAca","fieldSci","fieldSocWork","fieldUnd","fieldPoliSci","fieldFilm","fieldArts","fieldLang","fieldArch","fieldOther","goalfunNight","goalMeetNew","goalGetDate","goalSerRel","goalSayDid","goalOther","goOut1","goOut2","goOut3","goOut4","raceBlack","raceWhite","raceLatino","raceAsian","raceNativeAmer","raceOther","surIID","surPID","decRatingGuess","decRaterAvg","decRateeAvg","decWaveAvg","decRaterAvgAdj","decRateeAvgAdj","attrRatingGuess","attrRaterAvg","attrRateeAvg","attrWaveAvg","attrRaterAvgAdj","attrRateeAvgAdj","sincRatingGuess","sincRaterAvg","sincRateeAvg","sincWaveAvg","sincRaterAvgAdj","sincRateeAvgAdj","intelRatingGuess","intelRaterAvg","intelRateeAvg","intelWaveAvg","intelRaterAvgAdj","intelRateeAvgAdj","funRatingGuess","funRaterAvg","funRateeAvg","funWaveAvg","funRaterAvgAdj","funRateeAvgAdj","ambRatingGuess","ambRaterAvg","ambRateeAvg","ambWaveAvg","ambRaterAvgAdj","ambRateeAvgAdj","sharRatingGuess","sharRaterAvg","sharRateeAvg","sharWaveAvg","sharRaterAvgAdj","sharRateeAvgAdj","likeRatingGuess","likeRaterAvg","likeRateeAvg","likeWaveAvg","likeRaterAvgAdj","likeRateeAvgAdj","probRatingGuess","probRaterAvg","probRateeAvg","probWaveAvg","probRaterAvgAdj","probRateeAvgAdj"
"1",1,201,21,1,0,2,16,6,1,40,0,1,21,5,4,8,10,6,7,4,10,5,0,12,18,20,16,16,18,0,0.0871438460381012,0.53559650789106,-0.229880898651218,1.38692305826069,-1.06665501467068,0.778756473145194,1.63897866695599,-2.00460838802986,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,33,48,0.431847205868816,0.125,0.263157894736842,0.286184210526316,-0.161184210526316,-0.0230263157894737,0,0.150250939221639,-0.869426829586043,-0.175248804567133,0.325499743788771,-0.69417802501891,0.510635025761059,0.334984070302559,-0.196462913484525,-0.341642967002519,0.676627037305078,0.145180053517995,0.0510071385591375,0.155675552134008,-0.554560015101936,-0.346562456125695,0.502238008259703,-0.207997558976241,0,-0.16379600555634,-0.101767243003659,-0.273978675880181,0.110182670323842,0.172211432876523,0,0.308398920737821,-0.413458003518463,-0.251086587393977,0.559485508131798,-0.162371416124485,0,-0.805556800606059,-0.267642386711155,-0.197337463314556,-0.608219337291503,-0.0703049233965985,0.281108148970776,0.211162518442686,-0.37429453143731,-0.166326206256058,0.377488724698744,-0.207968325181252,0,-1.67225557329097,-0.325352060928128,-0.377828821150057,-1.29442675214092,0.0524767602219292
"2",2,202,21,1,0,2,16,7,2,41,0,1,21,5,4,8,10,6,7,4,10,5,0,12,18,20,16,16,18,0,-0.417712899430197,0.53559650789106,-0.229880898651218,-0.597997343425108,1.18984375112788,-0.215322443718337,0.576417812248414,-1.52118611204603,2,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,26,43,0.346169168074582,0.125,0,0.266447368421053,-0.141447368421053,-0.266447368421053,0,0.11869739262987,-1.16171231380453,-0.296480851998665,0.415178244628535,-0.865231461805867,0.604642671959488,0.368419476567309,-0.365399703032737,-0.346922241675901,0.71534171824321,-0.0184774613568357,0.24604557512466,0.194231197212531,-0.489624191811792,-0.33641623373661,0.530647430949141,-0.153207958075182,0,-0.0707528617273181,-0.989757949020989,-0.316419408153069,0.245666546425751,-0.673338540867921,0.651634397016974,0.273141127522218,-0.265004137347505,-0.275210340646758,0.548351468168976,0.0102062032992534,0,-0.743426868302089,-0.660041959157286,-0.234942422340644,-0.508484445961445,-0.425099536816642,0.183200650590709,0.277572571861909,-0.765764320013785,-0.23797915862943,0.515551730491339,-0.527785161384354,0,-1.70246946553996,-0.605228115445083,-0.351590441039093,-1.35087902450087,-0.25363767440599
"3",3,203,21,1,0,2,16,8,3,42,0,1,21,5,4,8,10,6,7,4,10,5,0,12,18,20,16,16,18,1,1.0968573369747,1.07056300812706,0.387009422605144,0.89069295783924,0.0615943682286029,0.281717014713428,1.63897866695599,-1.0377638360622,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,26,49,0,0.125,0.157894736842105,0.269736842105263,-0.144736842105263,-0.111842105263158,0,0.150250939221639,-0.603712753023781,-0.271570157320953,0.421821096542591,-0.332142595702828,0.0450873071142675,0.368419476567309,-0.618804887355054,-0.30996731896223,0.678386795529539,-0.308837568392825,0,0.232786842291054,-0.392220456876577,-0.324240766869708,0.557027609160762,-0.0679796900068689,0,-0.0087240991746369,-0.36294098006758,-0.287853530661702,0.279129431487065,-0.0750874494058772,0.542013708577807,0.343656713953423,-0.0571687247081635,-0.256653607375388,0.600310321328811,0.199484882667225,0,-0.619167003694147,-0.267642386711155,-0.20714745262571,-0.412019551068438,-0.0604949340854453,0.127409866330759,0.310777598571521,-0.402256659192773,-0.210017030873968,0.520794629445489,-0.192239628318805,0,-1.611827788793,-0.656114670811802,-0.323761856072918,-1.28806593272008,-0.332352814738884
"4",4,204,21,1,0,2,16,11,4,43,0,0,21,5,4,8,10,6,7,4,10,5,0,12,18,20,16,16,18,0,-0.417712899430197,0.53559650789106,0.387009422605144,-1.09422744384656,1.18984375112788,-1.20940136058187,0.0451373848946272,-2.00460838802986,2,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,33,41,0.445349197635214,0.125,0.210526315789474,0.263157894736842,-0.138157894736842,-0.0526315789473684,0,0.11869739262987,-0.789712606617364,-0.276552296256495,0.395249688886365,-0.513160310360869,0.436519898771686,0.368419476567309,-0.365399703032737,-0.325805142982374,0.694224619549683,-0.0395945600503622,0,0.117119907055486,-0.294816721941362,-0.334386989258793,0.451506896314279,0.0395702673174311,0,-0.0087240991746369,-0.754701585663461,-0.309890064726471,0.301165965551834,-0.44481152093699,0,0.273141127522218,-0.354076457050079,-0.226962834141197,0.500103961663415,-0.127113622908883,0,-0.619167003694147,-0.529242101675242,-0.200607459751607,-0.41855954394254,-0.328634641923635,0.410146135334621,0.343982625281132,-0.570029425725547,-0.19953123296567,0.543513858246802,-0.370498192759878,0,-1.64204168104198,-0.465290088186605,-0.389755357564132,-1.25228632347785,-0.0755347306224736
"5",5,205,21,1,0,2,16,15,5,44,0,0,21,5,4,8,10,6,7,4,10,5,0,12,18,20,16,16,18,0,0.5920005915064,0.000630007655055937,0.387009422605144,-0.597997343425108,0.0615943682286029,-1.70644081901363,0.0451373848946272,-2.00460838802986,2,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,36,55,0,0.125,0.210526315789474,0.273026315789474,-0.148026315789474,-0.0625,0.064711045816694,0.0555902994463325,-0.630284160680007,-0.303123703912722,0.358714003359054,-0.327160456767286,0.485888865401276,0.43529028909681,-0.365399703032737,-0.41027353775648,0.84556382685329,0.0448738347237437,0.00757051953346194,0.194231197212531,-0.587027926747007,-0.385118101204218,0.579349298416749,-0.20190982554279,0,0.0533046633780443,-0.833053706782637,-0.291934370303326,0.34523903368137,-0.541119336479311,0.055630332414861,0.343656713953423,-0.74005650909457,-0.262220627356799,0.605877341310222,-0.477835881737771,0,-0.588102037542162,-0.660041959157286,-0.215322443718337,-0.372779593823824,-0.444719515438948,0,0.377187651990744,-0.625953681236472,-0.219629012289908,0.596816664280652,-0.406324668946564,0,-1.61182778879299,-0.325352060928128,-0.311040217231238,-1.30078757156176,-0.0143118436968897
"6",6,206,21,1,0,2,16,2,6,45,0,0,21,5,4,8,10,6,7,4,10,5,0,12,18,20,16,16,18,0,0.0871438460381012,0.53559650789106,0.387009422605144,-0.101767243003659,0.625719059678243,-0.712361902150103,-0.48614304245916,-1.52118611204603,2,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,27,44,0,0.125,0.210526315789474,0.263157894736842,-0.138157894736842,-0.0526315789473684,0.0477235123997423,0.150250939221639,-0.391141491773971,-0.35460580624666,0.504856745468298,-0.0365356855273111,0.219249691911912,0.334984070302559,-0.478024229398211,-0.373318615042809,0.708302685345368,-0.104705614355402,0.173747329192162,0.155675552134008,-0.359752545231505,-0.362796411948231,0.518471964082239,0.00304386671672541,0,-0.0707528617273181,-1.17257956496573,-0.318051744009718,0.2472988822824,-0.854527820956016,0.59494302483244,0.237883334306616,-0.294694910581696,-0.316035153843772,0.553918488150387,0.0213402432620753,0,-0.743426868302088,-0.712361902150103,-0.239847416996221,-0.503579451305868,-0.472514485153883,0.232492038001902,0.343982625281132,-0.570029425725547,-0.290408148170923,0.634390773452055,-0.279621277554625,0,-1.70246946553996,-0.707001226178521,-0.360336567742747,-1.34213289779722,-0.346664658435774
"7",7,207,21,1,0,2,16,5,7,46,0,0,21,5,4,8,10,6,7,4,10,5,0,12,18,20,16,16,18,0,0.0871438460381012,0.53559650789106,0.387009422605144,-0.101767243003659,0.625719059678243,-0.215322443718337,1.1076982396022,-1.52118611204603,2,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,32,45,0.0929922297773105,0.125,0.473684210526316,0.240131578947368,-0.115131578947368,0.233552631578947,1.0563346489003,0.11869739262987,0.964000298693567,-0.333016537525976,0.451713930155846,1.29701683621954,0.642772355607777,0.368419476567309,-0.08383838711905,-0.332844175880217,0.701263652447526,0.249005788761167,0.374464143851589,0.155675552134008,-0.0350734287807881,-0.308006811047172,0.463682363181181,0.272933382266384,0.418692261367061,-0.0397384804509775,0.316110736298615,-0.339272110146162,0.299533629695184,0.655382846444776,0.433402928283753,0.273141127522218,-0.294694910581696,-0.20655042754269,0.479691555064908,-0.0881444830390063,0,-0.712361902150103,0.177077128727793,-0.218592440155388,-0.493769461994715,0.395669568883182,0.395630073158773,0.211162518442686,0.450588237348833,-0.237105342137072,0.448267860579758,0.687693579485905,0,-1.67225557329097,-0.0327543675694932,-0.383394538143292,-1.28886103514768,0.350640170573799
"8",8,208,21,1,0,2,16,12,8,47,0,0,21,5,4,8,10,6,7,4,10,5,0,12,18,20,16,16,18,0,-0.922569644898496,0.000630007655055937,-0.229880898651218,-1.09422744384656,0.0615943682286029,-1.20940136058187,-0.48614304245916,-2.00460838802986,2,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,22,53,0.335543398415648,0.125,0.0526315789473684,0.305921052631579,-0.180921052631579,-0.253289473684211,0,0.181804485813407,-0.869426829586043,-0.193516647330788,0.375321133144196,-0.675910182255255,0.112859625063969,0.401854882832059,-0.618804887355055,-0.299408769615466,0.701263652447526,-0.319396117739588,0,0.155675552134008,-0.554560015101936,-0.281626632835551,0.43730218496956,-0.272933382266384,0.0605522679190293,0.0533046633780443,-0.232354111535619,-0.291934370303326,0.34523903368137,0.059580258767707,0.126211779094785,0.273141127522218,-0.561911869689421,-0.20655042754269,0.479691555064908,-0.355361442146731,0,-0.712361902150103,-0.319962329703972,-0.172812490036673,-0.53954941211343,-0.147149839667299,0.600028234493573,0.343982625281132,-0.346332403681848,-0.175938187671998,0.51992081295313,-0.170394216009849,0,-1.67225557329097,-0.299908783244768,-0.338868802197413,-1.33338677109356,0.0389600189526443
"9",9,209,21,1,0,2,16,16,9,48,0,0,21,5,4,8,10,6,7,4,10,5,0,12,18,20,16,16,18,0,0.5920005915064,0.000630007655055937,-0.229880898651218,-0.597997343425108,-0.502530323221038,-1.20940136058187,0.0451373848946272,-2.00460838802986,2,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,29,46,0,0.125,0.473684210526316,0.289473684210526,-0.164473684210526,0.184210526315789,0.582000642636774,0.0871438460381012,0.485714960881495,-0.226730906901071,0.313874752939172,0.712445867782566,0.377162352492291,0.401854882832059,-0.393555834624105,-0.302928286064387,0.704783168896447,-0.0906275485597178,0.0668643363194057,0.194231197212531,-0.879239131552653,-0.277568143879918,0.471799341092448,-0.601670987672736,0.426766327372537,-0.0087240991746369,0.368345483711399,-0.309890064726471,0.301165965551834,0.678235548437869,0,0.343656713953423,-0.650984189391996,-0.228818507468334,0.572475221421757,-0.422165681923662,0,-0.619167003694147,-0.058362614739885,-0.180987481129301,-0.438179522564846,0.122624866389416,0.464831201602234,0.377187651990744,0.18494802367194,-0.1654523897637,0.542640041754444,0.350400413435639,0,-1.64204168104198,-0.22357895019469,-0.318196139079683,-1.3238455419623,0.0946171888849933
"10",10,210,21,1,0,2,16,3,10,49,0,1,21,5,4,8,10,6,7,4,10,5,0,12,18,20,16,16,18,1,1.601714082443,1.07056300812706,1.62079006511787,1.38692305826069,1.18984375112788,1.27579593157696,1.63897866695599,-0.0709192840945325,2,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,28,50,2.26197841991068,0.0625,0.368421052631579,0.276315789473684,-0.213815789473684,0.0921052631578947,0.500565296125183,-0.00751679373720476,0.0871438460381012,-0.30644512986975,0.298928336132545,0.393588975907851,0.423733460472607,0.301548664037808,-0.08383838711905,-0.368919219481658,0.670467883519466,0.285080832362608,0.0706158587956879,0.0400086168984403,-0.0350734287807881,-0.339460100453335,0.379468717351776,0.304386671672547,0.422761979970398,-0.101767243003659,0.289993362592223,-0.288669698590027,0.186902455586368,0.57866306118225,0.589758886775936,0.202625541091013,-0.0274779514739719,-0.261292790693231,0.463918331784244,0.233814839219259,0,-0.743426868302088,0.150917157231385,-0.213687445499812,-0.529739422802277,0.364604602731197,0.744397059218189,0.211162518442686,0.129023768161015,-0.248464956537729,0.459627474980415,0.377488724698744,0,-1.79311114228693,-0.147249117144611,-0.338073699769808,-1.45503744251712,0.190824582625197
