"","X.1","X","iid","id","gender","wave","round","order","partner","pid","match","sameRace","age","fieldCD","race","imprace","imprelig","goal","date","goOut","careerCD","exphappy","expnum","attrPref","sincPref","intelPref","funPref","ambPref","sharPref","decRating","attrRating","sincRating","intelRating","funRating","ambRating","sharRating","likeRating","probRating","met","youCall","themCall","dateAfter","numDatesAfter","careerLaw","careerAcad","careerPsych","careerMed","careerEngin","careerCreative","careerCorp","careerRealEstate","careerIntAffairs","careerUnd","careerSpeech","careerPolitics","careerSports","careerOther","careerJourn","careerArch","date3","date4","date5","date6","date7","fieldLaw","fieldMath","fieldSocialSci","fieldMed","fieldEngin","fieldEng","fieldHum","fieldBusEconFin","fieldEducAca","fieldSci","fieldSocWork","fieldUnd","fieldPoliSci","fieldFilm","fieldArts","fieldLang","fieldArch","fieldOther","goalfunNight","goalMeetNew","goalGetDate","goalSerRel","goalSayDid","goalOther","goOut1","goOut2","goOut3","goOut4","raceBlack","raceWhite","raceLatino","raceAsian","raceNativeAmer","raceOther","surIID","surPID","decRaterSum","decRateeSum","decWaveSum","decRaterAvg","decRateeAvg","decWaveAvg","decRaterAvgAdj","attrRateeAvg","sincRateeAvg","intelRateeAvg","funRateeAvg","ambRateeAvg","sharRateeAvg","likeRateeAvg","probRateeAvg","dec","combRateeAvg","combRatingExcGuess","combRatingIncGuess","combRatingInc","combRatingExc"
"305",305,505,40,1,1,2,19,8,1,21,0,1,25,8,4,9,6,2,7,4,6,3,2,25,20,25,20,10,0,-0.966737433547348,-1.87210512015625,10,10,6,4,7,-1.31384687209662,1,2,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,53,36,0,3,147,-4.59511985013459,-0.861031795736409,0.526315789473684,-0.526315789473684,-1.26106578189694,-0.00328947368421062,0.325657894736842,-0.805921052631579,-0.0855263157894735,-0.5,-0.699651003583731,0.121710526315789,0,-0.940582860405692,-1.44631896850955,-1.47028253168756,-1.38422980860007,-1.59297599612643
"306",306,506,40,1,1,2,19,10,2,22,0,0,25,8,4,9,6,2,7,4,6,3,2,25,20,25,20,10,0,-0.966737433547348,-1.33036942889444,10,8,8,6,4,-1.89478161938088,1,2,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,52,32,0,3,147,-4.59511985013459,-0.861031795736409,0.529605263157895,-0.529605263157895,-1.61159133192416,-0.802631578947368,-0.894736842105263,-1.23026315789474,-0.746710526315789,-1.07894736842105,-1.95703036743903,-1.22368421052632,0,-1.4765511650332,-1.70097249816318,-1.64935070053061,-1.39729616060756,-1.61257552413766
"307",307,507,40,1,1,2,19,6,3,23,0,1,25,8,4,9,6,2,7,4,6,3,2,25,20,25,20,10,0,-0.966737433547348,-0.788633737632637,4,3,7,4,3,-3.0566511139494,1,2,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,47,32,0,6,147,-4.59511985013459,-0.861031795736409,0.546052631578947,-0.546052631578947,-0.50212972862699,0.289473684210527,-0.144736842105263,-0.440789473684211,-0.236842105263158,-0.243421052631579,-0.546969223687015,0.138157894736842,0,-0.636710249350138,-1.1499926662227,-1.17424120973153,-1.60400742837646,-1.92264242579102
"308",308,508,40,1,1,2,19,13,4,24,0,0,25,8,4,9,6,2,7,4,6,3,2,25,20,25,20,10,0,-0.966737433547348,-0.788633737632637,10,9,9,8,5,-2.47571636666514,3,2,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,47,33,0,8,147,-4.59511985013459,0.00144563148092623,0.523026315789474,-0.523026315789474,0.182842217756479,-0.417763157894737,-0.121710526315789,-0.0888157894736841,-0.210526315789473,-0.108552631578948,-0.46613769315346,-0.480263157894737,0,-0.0939499479720181,-0.953064842887828,-0.950236172861748,-1.41036251261504,-1.63217505214889
"309",309,509,40,1,1,2,19,15,5,25,0,0,25,8,4,9,6,2,7,4,6,3,2,25,20,25,20,10,0,-0.966737433547348,0.836573336152777,10,9,9,8,4,-1.89478161938088,1,2,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,50,23,0,14,147,-4.59511985013459,1.84151169952141,0.486842105263158,-0.486842105263158,1.25692968297751,-0.0888157894736841,-0.453947368421052,0.671052631578948,-0.838815789473684,-0.322368421052632,0.874318521527997,0.0723684210526319,0,1.3242533013423,-0.556686841501151,-0.456907835233245,-0.674981905591817,-0.529104141614051
"310",310,510,40,1,1,2,19,16,6,26,0,0,25,8,4,9,6,2,7,4,6,3,2,25,20,25,20,10,0,-0.966737433547348,0.836573336152777,9,9,8,7,4,-1.89478161938088,1,2,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,55,38,0,15,147,-4.59511985013459,1.97938919808111,0.493421052631579,-0.493421052631579,1.19261306829361,-0.141447368421052,-0.230263157894737,0.825657894736842,-0.365131578947368,0.763157894736842,1.25377765097719,0.680921052631579,0,1.47525997245064,-0.503831089372283,-0.381800765070183,-0.674981905591817,-0.529104141614051
"311",311,511,40,1,1,2,19,7,7,27,0,0,25,8,4,9,6,2,7,4,6,3,2,25,20,25,20,10,0,-0.966737433547348,1.37830902741458,8,6,8,7,5,-0.732912124812359,2,2,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,51,25,0,15,147,-4.59511985013459,1.97130129509952,0.496710526315789,-0.496710526315789,1.75538344677768,0.0526315789473681,-0.486842105263158,1.11513157894737,-0.197368421052632,0.375,1.60180229632999,0.101973684210527,0,1.77616234606907,-0.323448739197476,-0.259145683870568,-0.107113510315042,0.322698451301111
"312",312,512,40,1,1,2,19,4,8,28,0,0,25,8,4,9,6,2,7,4,6,3,2,25,20,25,20,10,0,-0.966737433547348,0.836573336152777,8,7,8,7,3,-0.1519773775281,2,2,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,43,26,0,8,147,-4.59511985013459,-0.861031795736409,0.529605263157895,-0.529605263157895,0.0413456654519135,0.302631578947368,-0.00986842105263186,-0.342105263157895,-0.151315789473684,0.526315789473684,0.0390593726812596,0.335526315789473,0,-0.260208919201079,-0.974124825040315,-0.956628897621097,-0.0940471583075571,0.342297979312339
"313",313,513,40,1,1,2,19,12,9,29,0,0,25,8,4,9,6,2,7,4,6,3,2,25,20,25,20,10,0,-0.966737433547348,-0.788633737632637,6,3,4,3,3,-3.0566511139494,5,2,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,41,37,0,3,147,-4.59511985013459,-0.861031795736409,0.503289473684211,-0.503289473684211,-0.486050574956016,0.203947368421052,-0.427631578947368,-0.111842105263158,0.0230263157894735,-0.411184210526316,-0.169755414530424,0.174342105263158,0,-0.505612595074283,-1.17353182569562,-1.27576045292556,-1.60400742837646,-1.92264242579102
"314",314,514,40,1,1,2,19,18,10,30,0,0,25,8,4,9,6,2,7,4,6,3,2,25,20,25,20,10,0,-0.966737433547348,-0.246898046370833,6,8,7,8,4,-2.47571636666514,1,2,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,46,25,0,4,147,-4.59511985013459,-0.861031795736409,0.546052631578947,-0.546052631578947,-0.48926640569021,-0.200657894736842,0.0361842105263159,-0.230263157894737,0.391447368421052,-0.289473684210527,-0.816407658798866,-0.0394736842105265,0,-0.722235286741828,-1.23657461539408,-1.22939709654646,-1.22978394886111,-1.36130720651799
